Timestamp,Label,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Duration,Flow IAT Mean,Dst Port,SYN Flag Cnt,ACK Flag Cnt,RST Flag Cnt,FIN Flag Cnt,PSH Flag Cnt
14/02/2018 01:57:00,Benign,1,1,37,131,76450,76450.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,42,105,1347,1347.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,44,100,12723,12723.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,39,55,381,381.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,40,101,12780,12780.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,2,0,0,0,165,165.0,443,0,1,0,0,0
14/02/2018 01:57:00,Benign,1,1,33,122,54735,54735.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,3,0,0,0,900316,450158.0,0,0,0,0,0,0
14/02/2018 01:57:00,Benign,11,12,867,3930,57538168,2615371.27272727,80,0,0,0,0,1
14/02/2018 01:57:00,Benign,1,1,40,56,250,250.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,2,0,0,0,153,153.0,443,0,1,0,0,0
14/02/2018 01:57:00,Benign,1,1,41,57,281,281.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,41,113,18386,18386.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,43,59,481,481.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,2,2,62,244,67967,22655.6666666667,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,22,80,323,75120,113570185,1124457.27722772,443,0,0,0,0,1
14/02/2018 01:57:00,Benign,1,1,44,60,438,438.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,43,99,12951,12951.0,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,9,7,1138,1581,1776324,118421.6,3389,0,0,0,0,1
14/02/2018 01:57:00,Benign,2,2,60,264,64655,21551.6666666667,53,0,0,0,0,0
14/02/2018 01:57:00,Benign,1,1,38,80,2166,2166.0,53,0,0,0,0,0
